"Aktie";"Gewicht_Normal";"Gewicht_na_omit";"Differenz_absolut"
"GE.HEALTHCARE.TECHNOLOGIES";0,1106;0;0,1106
"CME.GROUP";0;0,074;0,074
"VERIZON.COMMUNICATIONS";0,0877;0,0159;0,0718
"CENCORA";0;0,0577;0,0577
"OTIS.WORLDWIDE";0,0545;0;0,0545
"LOCKHEED.MARTIN";0;0,0544;0,0544
"JUNIPER.NETWORKS.DEAD";0;0,0478;0,0478
"BRISTOL.MYERS.SQUIBB";0,0496;0,0018;0,0478
"ELECTRONIC.ARTS";0,0432;0;0,0432
"KEURIG.DR.PEPPER";0,0622;0,028;0,0342
"CBOE.GLOBAL.MARKETS.BTS.";0,0484;0,0817;0,0333
"DOMINO.S.PIZZA";0,0328;0;0,0328
"MCKESSON";0;0,0315;0,0315
"GENERAL.MILLS";0;0,0313;0,0313
"EXPEDITORS.INTL.OF.WASH..A";0;0,0298;0,0298
"KROGER";0,0594;0,0322;0,0272
"CHEVRON";0;0,0244;0,0244
"CLOROX";0,0239;0;0,0239
"J.M.SMUCKER";0,0232;0;0,0232
"JOHNSON...JOHNSON";0,0563;0,0333;0,023
"T.MOBILE.US";0;0,0224;0,0224
"ABBVIE";0,0268;0,0062;0,0206
"HORMEL.FOODS";0,0204;0;0,0204
"ELI.LILLY";0;0,0203;0,0203
"CONSTELLATION.ENERGY";0,0198;0;0,0198
"APPLE";0;0,0188;0,0188
"ALTRIA.GROUP";0;0,018;0,018
"CHURCH...DWIGHT.CO.";0;0,0175;0,0175
"MICROSOFT";0;0,0175;0,0175
"ALPHABET..A.";0;0,0169;0,0169
"WALMART";0,0477;0,0311;0,0166
"AIRBNB.A";0,0165;0;0,0165
"ULTA.BEAUTY";0;0,0159;0,0159
"HOLOGIC.DEAD";0;0,0156;0,0156
"GEN.DIGITAL";0,0145;0;0,0145
"KELLANOVA.DEAD";0,065;0,0507;0,0143
"THE.CAMPBELL.S.COMPANY";0,0142;0;0,0142
"MERCK...COMPANY";0,035;0,0209;0,0141
"CHIPOTLE.MEXN.GRILL";0,0056;0,0189;0,0133
"DARDEN.RESTAURANTS";0;0,0133;0,0133
"SMURFIT.WESTROCK";0,0371;0,0245;0,0126
"AKAMAI.TECHS.";0;0,0122;0,0122
"NEWMONT";0,0101;0,0017;0,0084
"NVIDIA";0;0,0084;0,0084
"UNITEDHEALTH.GROUP";0;0,0081;0,0081
"FOX.A";0;0,0076;0,0076
"DECKERS.OUTDOOR";0;0,0071;0,0071
"AT.T";0;0,0069;0,0069
"CADENCE.DESIGN.SYS.";0;0,0067;0,0067
"GILEAD.SCIENCES";0,0064;0;0,0064
"MICRON.TECHNOLOGY";0;0,0059;0,0059
"O.REILLY.AUTOMOTIVE";0;0,0052;0,0052
"PHILIP.MORRIS.INTL.";0;0,005;0,005
"CH.ROBINSON.WWD.";0,0047;0;0,0047
"INCYTE";0,0053;0,0094;0,0041
"HILTON.WORLDWIDE.HDG.";0,004;0;0,004
"WEST.PHARM.SVS.";0;0,004;0,004
"PFIZER";0;0,0037;0,0037
"DELL.TECHNOLOGIES.C";0;0,0034;0,0034
"DIAMONDBACK.ENERGY";0;0,0034;0,0034
"HUMANA";0;0,0025;0,0025
"BOOKING.HOLDINGS";0;0,0022;0,0022
"LAM.RESEARCH";0;0,0019;0,0019
"TYSON.FOODS..A.";0,0151;0,0168;0,0017
"JABIL";0;0,0016;0,0016
"QUALCOMM";0;0,0015;0,0015
"REPUBLIC.SVS..A.";0;0,0011;0,0011
"PHILLIPS.66";0;9e-04;9e-04
"BOSTON.SCIENTIFIC";0;3e-04;3e-04
