"Jahr";"Portfolio_Typ";"Exp_Size";"Exp_Value";"Exp_LowVol";"Exp_Momentum"
"2010";"Min Variance";0,124191024140796;-0,399490523032333;1,31329555014667;-0,5022488225794
"2010";"Target Vol 15%";0,0914814566989798;-0,373374777629789;1,0497870902466;-0,209626425823892
"2010";"Target Vol 18%";0,240900042180656;-0,452733131353045;0,703564848768905;0,253657840054487
"2010";"Target Vol 21%";0,287303514675268;-0,439635931917957;0,391831818974882;0,559877958985612
"2010";"Target Vol 24%";0,288318962479059;-0,418869657535112;0,100710682893678;0,811132259802758
"2015";"Min Variance";0,826177037588442;-0,320291448191149;1,33112171887742;-0,0329368007613956
"2015";"Target Vol 15%";-0,0573215318349873;-0,732812608763384;-0,112608883064132;0,72821410061009
"2015";"Target Vol 18%";-0,138684631574093;-0,629514107171319;-0,665448148350168;0,921716460754701
"2015";"Target Vol 21%";-0,2290915242374;-0,638123552525344;-1,15559351040038;0,972855627065408
"2015";"Target Vol 24%";-0,262089771165623;-0,684650872187334;-1,58939614032466;1,04662141616518
"2020";"Min Variance";0,0317844313571367;-0,0917531534669525;0,720509417408147;0,0727470772049723
"2020";"Target Vol 15%";0,128856212239119;-0,749577773939427;-0,473149682455519;1,41502145680319
"2020";"Target Vol 18%";0,050248638305367;-0,864045190108467;-0,976526194885128;1,68584515960756
"2020";"Target Vol 21%";-0,0128144087755019;-0,926928136041628;-1,39729009498999;1,9039668589105
"2020";"Target Vol 24%";-0,0567750148964941;-0,914680769661752;-1,85272162049235;2,10113571183868
"2025";"Min Variance";0,0485763953258691;-0,219068506449971;0,875167408712078;-0,0341408960719136
"2025";"Target Vol 15%";0,294431821705778;-0,509706022061288;0,241654581415112;0,803012370620312
"2025";"Target Vol 18%";0,583457255856107;-0,593067957041684;-0,187391525043561;1,09181917136962
"2025";"Target Vol 21%";0,877437643497289;-0,629687883796673;-0,545167814324243;1,38821472745993
"2025";"Target Vol 24%";1,30508175438052;-0,669986576279921;-0,82648079381507;1,68972288775914
